word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
so-called,rh,adj,2,adv,V-ed,0,0,0.36,2.93,7.29,10.26,19.07,22.64,20.53,25.61,26.43,30.76,30.73,26.9,28.6,26.82,30.95,30.38,26.7,22.8,389.75
old-fashioned,rh,adj,2,adj,n-ed,0.85,2.89,5.88,8.35,12.99,13.6,21.44,21.02,18.54,19.55,23.88,21.99,19.35,16.67,20.09,16.72,15.45,15.44,15.17,17.05,306.92
middle-aged,rh,adj,2,adj,N-ed,0,1.44,3.05,2.62,5.1,4.63,5.28,5.76,5.19,4.89,7.71,8.85,10.77,13.51,10.96,12.8,17.51,13.71,11.49,11.36,156.63
long-term,rh,adj,2,adj,noun,0,0,0,0,0,0,0.05,0.05,0.15,0.27,0.44,1.48,6.87,5.46,9.45,9.93,16.71,26.94,32.82,28.31,138.93
good-natured,rh,adj,2,adj,N-ed,1.69,3.46,10.45,8.41,13.36,8.85,13.31,12.35,8.79,10.32,8.41,7.8,5.73,4.44,3.26,3.34,4.2,3.32,1.97,2.71,136.16
well-being,so,noun,2,adj,V-ing,1.69,1.73,5.15,6.79,7.77,4.69,5.71,4.33,6.12,4.75,6.12,5.3,7.56,5.38,5.58,5.96,8.15,7.35,8.27,8.32,116.73
far-off,rh,adj,2,adj,adv,0.85,2.02,3.41,5.42,6.98,7.8,7.17,9.25,7.86,6.83,6.39,5.73,4.63,4.44,3.83,3.96,2.48,3.12,2.04,2.74,96.95
good-looking,so,adj,2,adj,V-ing,0,0.43,1.81,3.86,2.43,3.93,3.02,4.97,4.71,4.71,5.68,7.25,7.15,6.57,5.58,5,6.63,5.29,5.98,7.51,92.53
first-class,rh,adj,2,num,noun,0,0.29,0.07,0.12,2.31,3.28,7.33,8.27,5.73,7.78,7.22,6.24,6.75,6.08,6.07,5.3,6.76,4.66,3.69,3.35,91.29
good-will,rh,adj,2,adj,noun,9.31,1.44,5.52,5.3,5.28,8.85,8.35,7.73,5.73,4.75,5.15,6.86,4.59,3.04,1.83,0.54,0.71,0.32,0.11,0.07,85.49
first-rate,rh,adj,2,num,noun,0.85,2.31,4.36,4.74,7.65,6.16,7.6,5.91,3.93,3.35,3.66,2.81,3.78,4.81,5.62,4.46,4.37,3.32,2.61,2.33,84.6
middle-class,rh,adj,2,adj,noun,0,0.14,0,0.19,0.12,0.41,0.54,0.49,0.63,1.36,2.47,2.96,5.16,4.23,6.4,9.8,13.94,11.85,11.31,7.41,79.41
far-reaching,so,adj,2,adv,V-ing,0,0,1.09,1.43,2.12,2.46,2.75,3.89,5.92,6.83,6.61,6.12,5.85,5.54,3.79,4.38,3.28,3.63,2.65,1.93,70.28
post-office,rh,adj,2,noun,noun,0,2.74,3.92,5.42,7.16,4.69,6.52,7.14,7.52,6.38,7.71,5.85,1.54,0.7,0.65,0.96,0.29,0.28,0.18,0.27,69.93
half-dozen,rh,adj,2,adj,noun,0,0.14,0.44,0.93,1.4,3.17,2.96,3.25,3.69,6.15,4.54,3.35,4.84,4.27,4.36,4.17,4.32,6,5.65,6.26,69.9
full-time,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.05,0.05,0.26,0.97,2.15,4.48,6.64,7.3,8.19,9.68,13.56,15.96,69.3
half-way,rh,adj,2,noun,noun,0.85,0.58,2.18,3.05,4.61,5.86,9.05,6.69,7.72,5.7,6.34,5.89,3.66,2.26,1.43,0.96,1.09,0.43,0.68,0.24,69.27
old-time,rh,adj,2,adj,noun,0,0,0.29,1.12,0.73,1.88,3.02,4.58,6.89,7.83,7.36,6.7,4.55,4.31,3.46,3.46,2.9,2.29,2.9,1.89,66.17
high-school,rh,adj,2,adj,noun,0,0,0.44,0,0.18,0.18,0.27,0.1,0.63,1.04,2.86,3.9,5.04,7.56,10.84,7.72,5.42,5.85,5.98,5.01,62.99
make-up,rh,noun,2,v,adv,0,0,0.07,0,0.12,0.23,0.59,1.33,2.52,4.16,5.42,5.15,5.41,7.8,8.96,6.26,4.37,3.75,2.08,1.15,59.38
large-scale,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0.1,0.05,0.23,1.23,2.46,5.04,9.49,5.58,7.88,6.47,7.15,6.76,6.05,58.49
well-to-do,rh,adj,3,,,0,0.14,0.29,0.5,0.73,1.58,3.07,4.23,5.24,4.75,6.52,4.05,4.63,3.82,4.6,3.5,3.02,3.32,1.57,1.15,56.74
