word	1810s	1820s	1830s	1840s	1850s	1860s	1870s	1880s	1890s	1900s	1910s	1920s	1930s	1940s	1950s	1960s	1970s	1980s	1990s	2000s	total
afternoon	14.3920826613501	29.7379609257629	40.5093785745171	48.9768664064994	65.5064954334566	83.788374371851	101.657852638134	119.70881028787	130.916972669516	149.473293312987	155.766547178101	150.816180997504	158.031981559684	147.240291843812	130.699616550629	136.379378570471	114.128834826477	101.161408814623	106.722841103755	98.2163119571934	2083.83148068419
gentleman	142.227640418048	115.487226896167	206.321960409996	192.978823487187	184.863094156511	165.876354862118	169.05264524561	140.972875273215	136.936143826736	105.893886270781	75.3282793197266	74.6869482530933	53.2870184734428	38.2783687582797	31.1267166598132	19.7270477259427	24.2702231529447	16.4718108065981	15.3176981865885	15.1856487840151	1924.29041096681
someone	0	0	0.508182168497526	1.05929609276144	0.121420751498529	2.1694680558142	4.14820066408922	4.97145963777748	10.1452159020871	17.3322044622688	27.8406272105656	39.9551784756893	74.2603987421662	98.2423369847694	110.369470459992	144.303562646431	175.980112861576	210.262467442498	244.510546754142	271.785910085402	1437.96605939803
gentlemen	77.0399718931092	67.9931048351182	119.568004502204	106.365790020222	99.0186228470507	97.6846967834177	95.6779789535383	79.6910213223935	70.4340108800402	53.8520190864227	35.6818165198705	40.5009077426743	43.0035587680415	32.4462567800869	33.5304814280449	21.5204157010284	24.1442531365799	18.9603577629906	11.4882736399414	10.0110290424687	1138.61257164524
understanding	26.2443860295207	75.2110565161286	46.1719798806324	47.8552587788696	46.9291204541816	36.0014428721599	39.9735700357688	38.5411177859383	39.2702376305669	45.7968431222351	62.2889982211073	65.9162993194054	59.5465156854261	61.6889590932791	60.5422787388514	59.1394369458493	53.9991470150292	53.9185173885046	65.0644282785466	56.7517119366978	1040.8513057287
somebody	20.3182343454354	19.3441105051079	17.2055962762734	14.3316530197136	30.051635995886	42.7443841267176	45.8456982485704	44.1524682681822	34.2704422338445	41.090448176867	50.4391110064836	49.5444213098547	65.2776137821122	81.9370661724979	80.953908380954	76.9897042327488	86.5833912480484	61.1866545309843	77.0537481208531	65.2407939963588	1004.56108397749
breakfast	17.778455052256	28.0056525223204	36.4439212265369	34.8321479913908	56.0356768165713	57.930660517417	75.2602120484758	65.1704213902711	58.3956685656019	54.5760798472485	57.3111645584587	65.2146474047104	49.1817638084407	54.5014971483231	49.8271917211408	46.5024486562919	44.8453258258563	43.4113191281806	46.2394066754028	47.3494616873522	988.813122592247
somewhere	6.77274478181179	14.1471852947804	17.5685835394859	18.0080335769444	26.3483030751809	36.0600771439387	41.1048974896113	39.9685665928249	38.6391954931165	47.3807260365416	57.5754743104577	59.9132773825702	69.4641606186985	70.6835543272525	64.8609069665218	71.1091255237469	77.0516600097812	63.5171985060186	75.6937655715765	72.6137816019608	968.481217842821
newspaper	7.61933787953827	11.9817997904773	14.6646854337858	21.435167994702	22.5235494029772	26.0336166697704	34.5862964460425	42.5281299706905	41.3575308544412	44.1677064103769	56.1658222997962	78.8188984174085	78.1624229782078	71.3406937050771	73.8648394034573	63.9356536234041	61.4733679860052	54.8665352766541	57.5487352430709	57.6310590823201	920.705848868203
forehead	18.6250481499824	86.3267021048846	41.0175607430146	54.7718391492531	50.3289014961404	45.6760977156557	42.7210795665292	37.162891351703	31.6006485754005	33.0805260102311	31.9374283665508	31.1845295420014	34.3865885801164	37.7033718026832	34.8342182514925	31.571617607904	33.9279244075767	32.6276156504797	41.4436787384802	42.1748419458058	793.103109755885
mankind	158.312909274851	69.0036180704596	56.9890003243654	72.0944458426461	57.0070428285595	52.8881131444434	39.7580790921798	37.162891351703	29.4648136486453	25.6589032117661	29.6907954745589	26.1170434914262	20.0385202955052	20.1248934458767	19.5967941274479	16.6407865595161	19.3993825201738	17.024821241352	7.08622486201993	6.12160897529339	780.180687782789
railroad	0	0.577436134480834	2.97649555834265	10.5306493927461	23.616336166464	35.0632945236997	77.0380123330854	61.380298696124	43.9302411071236	76.5241716597821	65.020198991764	78.078265840786	63.8143546935966	63.5782348045247	53.6161768642856	42.6237690822694	23.7243530820307	17.2618257133894	15.9976894612268	15.7944275771382	771.14623168286
midnight	66.8808547203915	48.50463529639	49.8744499654001	55.3949544979363	45.6542025634471	35.5910029697086	41.5897521126867	32.8805449310431	38.7362788988781	30.2747905620309	27.4882142079002	31.2624908658564	31.1755478025405	33.2676810023676	29.7822380606328	28.3602377455413	25.6558933329571	23.6214457130592	27.1280729566217	25.8054566196069	728.928744824996
newspapers	7.61933787953827	15.3020575637421	22.8681975823887	20.5004949716772	22.705680530225	24.7436626906376	32.8084961614329	35.5877754268626	36.3091937548381	38.9635196919411	46.1661033491658	59.1336641440201	56.254182736266	52.2425805370513	48.2382624675639	42.1232942985245	41.6120954058273	35.3531670789096	28.4880555058983	25.467246178983	692.487067955493
chairman	0	4.90820714308709	6.17078347461282	11.9015031598491	5.46393381743382	5.27708446008859	10.882292651247	9.25380605843729	12.5723010461271	11.6754797683168	12.5547132199544	26.4678694487737	70.2770823345405	62.9621666378141	87.6355596011233	87.583087155348	80.8307605007241	72.9183758968348	42.1594590275731	35.2077068689526	656.702172270838
household	17.778455052256	24.1079586145748	32.0154766153441	37.5738555255969	45.9577544421934	52.1845018830983	52.4720447639337	48.7301489247496	40.9691972313949	35.7052462682248	32.9946673745469	30.2489936557413	29.2651817703118	27.3944978130607	24.1598730095147	20.6445848294749	22.4226629129281	24.8854695639252	28.8101566359901	27.8008982192882	656.121625106148
bedroom	0	1.01051323534146	1.59714395813508	0.685426883551518	3.15693953896176	8.26743232080546	12.3907292563704	10.9765891012315	11.6500086913919	13.8476620507944	22.4663289199185	29.7812257126113	40.4835014489313	42.3444186585691	41.3529023687309	46.3773299603557	56.8964573914188	48.7834204943613	66.1023096977314	72.546139513836	530.716479203048
sunshine	28.7841653227001	18.3335972697665	29.982747941354	40.5024976644079	45.5934921876978	53.239918775116	40.3506791870496	47.302700117863	35.2412762914605	36.8365912070152	25.9464073212392	25.6102948863686	16.5836030031767	15.3606329566487	11.3669554294344	9.50902089115207	11.0013814291895	7.97915055859189	9.26935474375334	8.92875563247213	517.723222816457
background	0	1.01051323534146	2.61350829513013	7.2281380447251	8.80300448364338	11.9027571710887	14.9227478435417	14.274488068866	16.9410543053991	21.0882696590529	32.9946673745469	37.6943000838942	39.1421806177921	34.0069628024202	43.3492493796352	44.7090806812062	41.4021453785527	38.3157229793769	44.2352218659426	42.9189049151785	497.552917185334
doorway	0	1.58794936982229	2.61350829513013	7.60200725393502	5.94961682342794	7.44655251590279	14.1146568050828	17.3754975458956	23.5427258971878	33.0805260102311	44.1397285838398	37.7332807458217	41.987406623239	43.6586974142182	42.8196062951095	29.5280122409459	36.4893147403269	32.7066171411588	37.5426761629238	37.473716821133	497.392097285332
grandfather	5.07955858635885	21.7982140766515	19.746507118761	16.8241144144464	28.4731662264051	24.6263941470801	20.1484032255762	21.5101768486016	27.5231455334134	16.6533974989946	30.9682926092209	17.6972205150858	22.1114706709023	25.4230796795871	22.856136186067	33.2398668870535	25.5299233165923	26.4654993775078	35.1448121944625	37.2031484686339	479.022527581402
landscape	18.6250481499824	12.7035949585783	21.6340408874661	33.5859172940244	30.5980293776294	22.2223890041508	23.1652764358229	25.5464114060051	32.2316907128509	18.0562652230947	18.5897858905992	15.8261487425657	17.112002118474	12.4035057564383	12.7929175800803	16.2654304717075	17.7617723074318	22.001915154137	37.6500432062877	34.903317472391	443.675502149718
